Date,City,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2020-02-10,Ha Long,151.0,5.846153846153846,21.307608695652174,87.35190217391305,19.0,3.0,32.0,56.0,,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2020-02-10,Ha Noi,171.0,0.3,18.76287262872629,72.48915989159892,8.769354838709678,2.0,41.0,94.0,,1011.5983739837399,4.0,24.056910569105693,,2.8048780487804876
2020-02-10,Ho Chi Minh,169.0,,23.1260162601626,76.9390243902439,,,,91.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2020-02-10,Hue,87.0,9.0,22.371830985915494,82.34129213483146,14.0,6.0,22.0,29.0,,1011.3019662921348,5.029411764705882,25.542134831460675,,2.265730337078652
2020-02-11,Ha Long,164.0,5.846153846153846,21.307608695652174,87.35190217391305,22.0,5.0,46.0,81.0,,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2020-02-11,Ha Noi,189.0,0.2,18.76287262872629,72.48915989159892,8.769354838709678,2.0,58.0,130.0,,1011.5983739837399,4.0,24.056910569105693,,2.8048780487804876
2020-02-11,Ho Chi Minh,158.0,,23.1260162601626,76.9390243902439,,,,70.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2020-02-11,Hue,102.0,9.0,22.371830985915494,82.34129213483146,13.0,5.0,25.0,36.0,,1011.3019662921348,5.029411764705882,25.542134831460675,,2.265730337078652
2020-02-12,Ha Long,155.0,5.846153846153846,21.307608695652174,87.35190217391305,21.0,8.0,38.0,64.0,,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2020-02-12,Ha Noi,189.0,0.3,18.76287262872629,72.48915989159892,17.0,3.0,57.0,129.0,,1011.5983739837399,4.0,24.056910569105693,,2.8048780487804876
2020-02-12,Ho Chi Minh,153.0,,23.1260162601626,76.9390243902439,,,,59.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2020-02-12,Hue,115.0,8.0,22.371830985915494,82.34129213483146,13.0,5.0,29.0,41.0,,1011.3019662921348,5.029411764705882,25.542134831460675,,2.265730337078652
2020-02-13,Ha Long,124.0,5.846153846153846,21.307608695652174,87.35190217391305,15.0,5.0,24.0,45.0,,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2020-02-13,Ha Noi,170.0,0.4,18.76287262872629,72.48915989159892,13.3,3.3,37.0,93.0,,1011.5983739837399,3.0,24.056910569105693,,2.8048780487804876
2020-02-13,Ho Chi Minh,152.0,,23.1260162601626,76.9390243902439,,,,57.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
